tx_id,tx_size,tx_fee
1,133,5686
2,555,3209
3,197,9564
4,384,9161
5,727,2268
6,694,3462
7,732,4688
8,708,7654
9,988,8091
10,278,3784
11,986,9474
12,664,3292
13,195,3855
14,748,6691
15,509,6401
16,224,5784
17,662,4916
18,501,2143
19,339,9012
20,758,8424
21,532,6087
22,145,5472
23,992,8830
24,973,6778
25,100,7819
26,127,7464
27,460,5798
28,522,6380
29,125,2814
30,904,9036
31,423,9965
32,815,1085
33,131,6776
34,880,9819
35,769,1356
36,265,3588
37,640,7655
38,858,1716
39,371,3163
40,165,9916
41,129,3177
42,789,8371
43,223,5621
44,490,4358
45,160,2580
46,835,4438
47,114,3292
48,178,1367
49,976,1272
50,753,6697
51,172,6857
52,987,7287
53,263,8067
54,811,8237
55,694,3352
56,284,1119
57,261,7826
58,867,8750
59,127,2805
60,304,6264
61,979,1421
62,875,3408
63,616,2382
64,395,6237
65,275,4561
66,473,8275
67,919,7962
68,130,9839
69,369,4268
70,664,3743
71,825,8853
72,864,2492
73,448,5902
74,280,5995
75,244,6963
76,584,8813
77,533,6693
78,309,8916
79,902,9574
80,908,4123
81,104,9156
82,770,3061
83,213,7169
84,528,1634
85,263,9940
86,578,9853
87,305,3248
88,212,1146
89,265,8596
90,907,7827
91,184,1643
92,331,7730
93,500,6717
94,251,8400
95,525,6241
96,745,4604
97,596,2808
98,792,7317
99,561,4143
100,839,7443
101,772,6740
102,656,9832
103,735,3903
104,780,7060
105,860,8292
106,629,5273
107,821,9347
108,323,5645
109,212,3963
110,445,4004
111,947,6309
112,971,7964
113,749,8464
114,201,3053
115,808,2629
116,351,4513
117,576,4941
118,425,3747
119,956,6427
120,578,8988
121,949,9189
122,460,2158
123,896,9377
124,705,1496
125,615,6940
126,817,9354
127,258,7522
128,670,8306
129,694,3255
130,100,7605
131,162,8307
132,490,1752
133,628,5228
134,197,8654
135,144,1728
136,298,8634
137,917,5492
138,118,2033
139,507,6764
140,179,3894
141,588,9229
142,734,9880
143,227,8627
144,303,6440
145,980,4815
146,789,6271
147,667,9545
148,137,5215
149,411,6582
150,834,5985
151,416,7268
152,858,7765
153,198,1612
154,369,4023
155,398,1265
156,406,5381
157,883,6512
158,576,5584
159,376,7856
160,590,5162
161,662,1898
162,464,8229
163,147,5678
164,579,9379
165,575,1501
166,977,2900
167,936,3820
168,671,3547
169,206,1468
170,350,1853
171,503,4220
172,732,2043
173,932,5614
174,685,6458
175,588,9909
176,670,2722
177,856,1632
178,414,9923
179,492,3617
180,668,1522
181,212,4657
182,121,8257
183,442,5110
184,373,8737
185,871,5301
186,217,3709
187,266,1039
188,756,1335
189,962,7515
190,931,8065
191,345,4191
192,864,1758
193,132,2453
194,706,8266
195,255,1092
196,354,3706
197,722,8765
198,662,5767
199,959,8067
200,162,9029
201,289,5135
202,230,8461
203,538,4671
204,935,1868
205,723,4050
206,657,3873
207,649,7645
208,364,5081
209,920,3373
210,313,1362
211,662,2649
212,647,9238
213,547,3011
214,297,9421
215,566,2109
216,517,8945
217,218,5197
218,390,3727
219,158,5348
220,772,1816
221,413,9083
222,101,5505
223,901,3453
224,411,6784
225,179,8469
226,935,5432
227,361,3066
228,307,1678
229,778,3692
230,744,4940
231,644,4419
232,454,6185
233,754,6677
234,317,5900
235,523,3271
236,762,1382
237,652,6318
238,767,7395
239,422,1529
240,735,8863
241,895,6550
242,128,5173
243,683,9256
244,334,8254
245,840,4357
246,531,2589
247,464,1756
248,651,2664
249,999,7636
250,999,2031
251,786,6517
252,369,4873
253,250,4146
254,358,2028
255,775,9846
256,226,9015
257,295,7320
258,572,1273
259,227,8255
260,683,8668
261,410,3778
262,619,2600
263,655,1723
264,913,5776
265,656,1691
266,430,6211
267,961,2838
268,654,8778
269,537,5505
270,649,1935
271,792,5328
272,948,3052
273,237,8719
274,788,7555
275,880,3810
276,403,3051
277,464,9438
278,357,3986
279,209,3393
280,195,7501
281,692,2699
282,875,6731
283,589,8884
284,393,1257
285,348,8396
286,202,5660
287,947,7469
288,563,4427
289,206,1435
290,915,3430
291,892,9602
292,789,7008
293,320,3158
294,774,6435
295,289,5538
296,412,3084
297,444,3634
298,151,8794
299,766,7994
300,246,3638
301,274,9457
302,894,8395
303,501,9514
304,260,4087
305,512,3522
306,118,6723
307,905,1104
308,907,4511
309,434,2417
310,796,6422
311,410,3662
312,909,7896
313,461,3031
314,527,3688
315,621,5371
